LOCATION;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
ABW;24046.2263769373;25834.1117784233;27083.6348596914;24631.1820522439;23513.527696809;24985.0139185797;24712.4932628907;26441.6199357378;26893.0115056581;28396.9084228616;28452.1706146796;29350.8050189137;30253.2793580195;;;
AFE;1237.11180175654;1382.86903874723;1442.16815788071;1412.11128439583;1634.44825309864;1770.73623014017;1736.16655986305;1713.89929866184;1703.59629838885;1549.03794037642;1431.7787234042;1573.06338581001;1574.97864775317;1530.05917655094;1359.61822418526;
AFG;263.733601866274;359.693157866109;364.6635420423;437.26874023514;543.306526178281;591.190030208565;638.845851607289;624.315454506615;614.223342360392;556.007220861443;512.012778129357;516.679862210543;485.668418729808;494.179349886029;516.747870807558;
AFW;1252.59514686795;1430.79640012068;1707.27226359303;1486.57265423522;1687.5519789005;1862.30826705039;1965.11848480873;2157.48114862974;2212.85313466307;1894.3101949536;1673.83552685464;1613.47355303429;1704.1396025899;1777.91867152634;1710.07336335627;
AGO;2599.56594793067;3121.99608528081;4080.94103372417;3122.7815987074;3587.88364462837;4615.46821863819;5100.09702685927;5254.88112606683;5408.41170002082;4166.97983330278;3506.07312818832;4095.8100568707;3289.64399476678;2809.62608839129;1776.16686789531;
ALB;2972.74292399799;3595.03805682893;4370.5399247769;4114.13489916342;4094.34838574494;4437.14261222684;4247.63004748194;4413.06200528903;4578.63320812155;3952.80253807527;4124.05538986272;4531.0193737689;5287.66369446913;5395.65953185375;5246.09634560989;
AND;42674.7589681092;47804.8499340211;48719.6587699036;43504.2156523202;40850.2481432297;43334.8114127088;38686.4612635075;39540.7248137461;41303.9293714464;35770.7767044085;37475.6350587526;38964.904478265;41791.9698372411;40897.3308728669;;
ARB;4754.76885405143;5418.13476273827;6661.48406818295;5695.8876755181;6512.54155819275;6888.97941571698;7378.23188980297;7373.20167842865;7300.03021943052;6220.71663600231;5969.61659266763;5987.3419570748;6504.14849275027;6489.04321596317;5612.68656952782;
ARE;41907.4214695701;41809.4621626311;44498.9405069137;32024.1977823245;33893.2638727391;39194.672239975;40976.4907464015;42412.6395002704;43751.8056478669;38663.4005026605;38141.8671313451;40644.7911901772;43839.3244866903;42701.4430454782;36284.5552429552;
ARG;5919.01233837714;7245.44685667197;9020.87332314274;8225.13758261645;10385.9644319555;12848.8641969705;13082.664325572;13080.2547323367;12334.7982453893;13789.060424772;12790.2424732447;14613.041824658;11795.1593866287;10056.637940265;8579.01777315683;
ARM;2158.1480742298;3139.28071035448;4010.86138084833;2994.34047090816;3218.37829927419;3525.80719813557;3681.84469060495;3838.17387997786;3986.23162376713;3607.28929855361;3591.82805221639;3914.52785436696;4220.54032079145;4604.64632355695;4266.01807420946;
ASM;8340.52343974691;8874.87792759607;9740.82449121586;11910.013233348;10216.8176306968;10223.2983588916;11496.5240977923;11450.7241954879;11525.1563872309;12059.6351646776;12038.2496994923;11003.8297642807;11521.6097798453;11715.3601388487;12844.9009909959;
ATG;13995.8044243845;15622.6928710238;16044.1057963132;14160.5620007335;13048.9605816199;12746.6334682021;13272.7349447294;12910.5906255945;13501.5809223367;14285.3297773091;15198.7429664112;15383.5763979856;16679.5916624545;17376.6496765004;13992.7444804497;
AUS;36117.487983674;41001.1429790999;49654.9105957389;42783.3225651148;52087.9722888891;62574.1457032412;68027.8417067378;68156.6279162085;62511.6905895284;56707.0220772116;49881.7637140466;53934.2501750463;57180.7794001614;54875.2859563351;51680.3165229438;
AUT;40669.3269586152;46915.3374004507;51919.9835754226;48153.3240199631;46903.7615854343;51442.2762464407;48564.9173350875;50731.1272541847;51786.3771747905;44195.8175947748;45307.5878620429;47429.1584564387;51486.5755014824;50114.4011099728;48588.6593847921;
AZE;2473.08181863536;3851.43786871172;5574.60380218613;4950.29479142375;5843.5337683582;7189.69122920765;7496.29464768263;7875.75695254288;7891.31314749986;5500.31038244408;3880.73873089556;4147.08971569171;4739.84171028393;4805.75371765917;4221.40747847848;
BDI;167.376462504995;172.495596648941;198.352851736367;212.137057219997;234.235538877634;249.577979366801;252.358870682831;256.975652630896;274.857836231788;305.549652502657;260.56522079627;253.826354063895;238.783467020173;228.213589244227;238.990725856496;
