LOCATION;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
ABW;0.246852819668348;1.40197957743216;-0.224758910607719;-10.5991281698803;-3.88682045338672;3.05578790984498;-1.86510525567148;3.59222312055758;-0.290534420289859;5.12965708792277;1.58786875286513;1.51982143378811;;;;
AFE;3.8983072985783;4.04477787976801;1.8034617966153;-1.74017990278948;2.34062047080745;1.22382779400891;-0.769509278650602;1.50530530791859;1.20325972664031;0.187859711602755;-0.674532556274414;-0.144709797664106;-0.185405595367016;-0.544414098800544;-5.40382044522711;
AFG;2.25331064367975;11.0227871655922;1.59421545820915;18.5154192936617;11.264090568989;-2.68106105621827;8.97486534263294;1.9741656904729;-0.665291050796171;-1.62285718631547;-0.541416195952564;0.0647641950115201;-1.19490038335884;1.53563667424;-4.57503186436271;
AFW;2.53362178777148;2.66786581660811;3.38635670245576;3.3832891759082;4.05656592321655;2.01719927425384;2.31517489112325;3.26088598310315;3.09678416221888;0.00740235901142228;-2.53356229121614;-0.390664943817995;0.241530875100992;0.492953120389345;-3.45397565583164;
AGO;7.58231872566577;9.89004908967451;7.11684790462024;-2.80859959622148;0.640263325028357;-0.220842987712189;4.7065188600379;1.29199384519865;1.2198806209574;-2.46873730689103;-5.81618754909985;-3.40998337557743;-5.16211179066241;-3.7956079652012;-8.39624119385249;
ALB;6.5729229844884;6.78722894058974;8.32810842081639;4.05313986616314;4.22308382503236;2.82164245514005;1.58487281498216;1.18723435252161;1.98538809417568;2.51682705063622;3.48029321692431;3.89774060579526;4.2763256546607;2.54935857948763;-3.40231674193589;
AND;2.06020231362646;-0.518849647046451;-6.88581740186976;-5.9766840451389;-1.96683315898277;0.834867424241708;-3.45153545003302;-1.5688713381525;4.51927941301172;3.02081678005885;4.64621154922207;0.734439351000333;1.57425431733354;1.83306059347608;-12.0882996669955;
ARB;3.6030331473649;2.04373627257688;3.2405201611855;-1.74743224180622;2.3376972444381;1.44376388737875;2.7000956263187;0.725441218537966;0.389027894794452;0.888157831786003;1.15295877026209;-1.00635785647198;0.468786241052925;0.137964422114464;-7.06518187900672;
ARE;-4.9166693070077;-11.3456527143693;-10.2086460930316;-15.1512246817973;-5.91493077766168;2.18634402990557;2.25709897595851;4.40993826131566;4.22567716724525;4.50781768694726;1.90520573929507;1.01143077389321;-0.320590314360061;1.93443148259161;-7.2721729746159;
ARG;6.95553357619964;7.9242108884188;3.02950065191851;-6.85422505520184;9.30012292248985;4.78868313859435;-2.14528444981812;1.26568517537076;-3.57858050983289;1.62966427946263;-3.11006389821465;1.75764818265694;-3.60160975657155;-2.99438788864292;-10.7651077297352;
ARM;14.0786074163543;14.695868262481;7.81913819445141;-13.5193908169314;2.58289738298329;4.72831760012215;6.91369862302516;2.82392616906515;3.07317867812573;2.7359180235262;-0.161329865469654;7.18452239016769;4.9522308356251;7.38219727969849;-7.5720605257634;
ASM;-3.37150121933666;3.1466601180652;-1.17239726702242;-2.78856050580796;1.3567863026621;0.590081607030754;-4.18704019844392;-2.58399590789166;1.62784446439068;3.12188089164911;-1.56120490141551;-6.78354801701121;2.95991055574585;-0.219737965386599;4.13808366254634;
ATG;11.0008002874547;7.60596839615401;-1.61258438112945;-13.3318258403209;-9.18796671463534;-3.29878621482433;2.04993317307776;-1.79896658725413;2.61605230937501;2.70571843639473;4.43725332350857;2.16611404366698;5.93227628165489;3.96278455965997;-20.8549349330109;
AUS;1.22256105447553;3.12228858599492;1.52196953655246;-0.211201149548302;0.595353727107323;1.05574787694091;2.1188970289609;0.849416992679778;1.04448964055885;0.712256477964445;1.1493474640983;0.587161102950546;1.302840712022;0.571102988410345;-1.27852628341415;
AUT;2.94341785870446;3.39173082681461;1.14330711888604;-4.01634004211772;1.59257712849987;2.57644831811446;0.222450576943075;-0.562298942527448;-0.122370667337563;-0.111540189504495;0.892469139632297;1.55072408627153;2.00355252390945;1.04090811975335;-7.12092796688751;
AZE;33.0304877689447;23.5906855604629;8.45745021933573;7.05060225387908;3.80649107344011;-1.19584309831757;0.816684084119416;4.45002019995316;1.47593715243055;-0.103121433889072;-4.1771717983498;-0.778416065787681;0.624486167739761;1.63585041443849;-4.95270163708527;
BDI;2.04691410160206;0.104847755259385;1.45655117316197;0.455731439010847;1.75624461627567;0.748489230350486;1.19801289223665;1.68737530450396;1.02162635595062;-6.8864045414511;-3.70833487696058;-2.64677820864496;-1.5575434549573;-1.29476823572824;-2.74070846256809;
BEL;1.87818319997308;2.91833834881372;-0.343452718095421;-2.80592074025158;1.928764195703;0.38003456979618;0.11640257847661;-0.0131483860964465;1.12859572471172;1.45189336758756;0.755268919102846;1.22886623616918;1.35679144535901;1.59897001717071;-6.11125660451353;
BEN;0.975162117860791;3.00415407569633;1.97622156437529;-0.515289132902581;-0.711405268098687;0.116989314098049;1.91953679804608;4.2413800400243;3.43949177750025;-1.00423453913564;0.525130743148708;2.80528150351485;3.81878334277161;4.00308913488962;1.09009852710551;
BFA;3.12424828216244;1.0224068238403;2.64756831685142;-0.107459605813844;5.22099169912576;3.46203091718995;3.30920251110012;2.68476801476167;1.28212746983034;0.911075762596241;2.91366558534006;3.17736075265671;3.59163480841336;2.72407212531654;-0.907160523079824;
BGD;5.24454106026052;5.75340722629838;4.80617619811781;3.87850067357942;4.3909628859054;5.25354715283245;5.29926032961355;4.79519609046848;4.85575647014585;5.36686615945385;5.94667828426267;6.1364783118442;6.73329863316326;7.04528876097589;2.47635985204822;
BGR;7.61684962906293;7.37801683034824;6.86349070130127;-2.64664096054558;2.21243106343319;2.75801177413106;1.34021710890744;-0.00242338038522405;1.54238792053928;4.09010768554509;3.76506855458946;3.51553833482474;3.42872477679667;4.77250206361659;-3.81151594165073;
BHR;-1.22745548940972;0.192120709692119;-1.25846655927015;-3.55414538407601;-0.356550280898588;-0.991765171028888;1.98946797220026;4.20741867779945;2.70680579011122;-0.187595037097779;-0.359639348486056;-0.475473381759144;-2.76780486148901;-2.32252085763781;-8.45537049876401;
 The;1.49985431178779;0.601739307052298;-0.464110316562156;-4.1120261170753;-5.79845781871626;0.0118887228779414;-0.686873073370307;1.95331789906872;-4.5242392561706;1.33239998761843;0.619177352382394;-0.894872291179823;0.606496417794375;1.73146903767967;-0.293225395122633;-15.3322770970022
